City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lorengau,PG,80.65,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
5,Harper,LR,77.68,light rain,4.375,-7.7169,Screensaver
7,Bengkulu,ID,76.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
14,Akyab,MM,76.23,overcast clouds,20.15,92.9,Hotel Memory
19,Salalah,OM,77.54,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
24,Atuona,PF,78.15,few clouds,-9.8,-139.0333,Villa Enata
32,Chinsali,ZM,79.63,few clouds,-10.5414,32.0816,Chisakatu Guest House
33,Hithadhoo,MV,82.24,heavy intensity rain,-0.6,73.0833,Scoop Guest House
35,Sorong,ID,79.38,overcast clouds,-0.8833,131.25,waigo splash hotel
46,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
48,Minab,IR,78.3,clear sky,27.1467,57.0801,Bam campground
60,Tual,ID,83.68,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
61,Bentiu,SS,82.74,broken clouds,9.2333,29.8333,Mandela hôtel
63,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
69,San Patricio,US,88.52,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
78,Bang Saphan,TH,77.14,moderate rain,11.2126,99.5117,Ladawan Boutique Hotel
88,Kalmunai,LK,78.98,few clouds,7.4167,81.8167,VS Villa
89,Kirakira,SB,80.71,broken clouds,-10.4544,161.9205,SanBiz Lodge
92,Quang Ngai,VN,76.28,light rain,15.1167,108.8,Central Hotel
94,Carutapera,BR,85.08,overcast clouds,-1.195,-46.02,Lidera
105,Doba,TD,75.11,light rain,8.65,16.85,Restaurant Auberge La Pétrolière
108,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
109,Jalu,LY,75.33,clear sky,29.0331,21.5482,صاحبة الفخامة
113,Dickinson,US,85.95,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
117,Roebourne,AU,80.02,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
119,Kavieng,PG,81.75,light rain,-2.5744,150.7967,Nusa Island Retreat
124,Mahibadhoo,MV,82.62,scattered clouds,3.7833,72.9667,Omadhoo Inn
135,Maceio,BR,87.24,clear sky,-9.6658,-35.7353,Poutur Pousada
138,Port Blair,IN,79.74,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
139,Panacan,PH,76.44,light rain,9.2463,118.4082,Mom's Place Resort
141,Puerto Escondido,MX,84.11,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
145,Maracacume,BR,87.89,overcast clouds,-2.0428,-45.9592,Hotel Ramos
150,Tecoanapa,MX,75.34,overcast clouds,16.5167,-98.75,Hotel Manglares
152,Santiago Del Estero,AR,78.8,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
156,Anloga,GH,79.59,moderate rain,5.7947,0.8973,Pin Drop Hotel
159,Sambava,MG,75.52,light rain,-14.2667,50.1667,Melrose
163,Miandrivazo,MG,76.5,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
165,Anupgarh,IN,80.29,broken clouds,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
170,Chadiza,ZM,84.42,overcast clouds,-14.0678,32.4392,Sankhani Guest House
173,Itupiranga,BR,79.81,light rain,-5.1347,-49.3267,Hotel Panorama
174,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
175,Bandarbeyla,SO,77.92,few clouds,9.4942,50.8122,JABIR HOTEL
176,Kudahuvadhoo,MV,82.78,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
178,Sal Rei,CV,80.8,clear sky,16.1833,-22.9167,Marine Club Beach Resort
184,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
186,Butaritari,KI,81.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
187,Puerto Barrios,GT,82.35,overcast clouds,15.7167,-88.6,Hotel El Castillo
192,Alta Floresta,BR,85.87,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
196,Ambulu,ID,76.39,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
197,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
200,Kasempa,ZM,75.69,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
204,Mogadishu,SO,79.7,clear sky,2.0371,45.3438,Hotel Juba
211,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
215,Sao Filipe,CV,80.06,clear sky,14.8961,-24.4956,Hotel Xaguate
218,Ipixuna,BR,87.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
219,Cockburn Town,TC,82.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
220,Mayumba,GA,76.86,overcast clouds,-3.432,10.6554,LIKWALE LODGE
221,Les Cayes,HT,85.39,few clouds,18.2,-73.75,Villa Orphee
223,Conde,BR,81.3,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
224,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
229,Karratha,AU,79.43,broken clouds,-20.7377,116.8463,ibis Styles Karratha
231,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
234,Pasni,PK,79.34,clear sky,25.2631,63.471,Kashmiri Hotal
243,Caravelas,BR,78.22,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
244,Conceicao Da Barra,BR,77.72,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
245,Acarau,BR,85.19,overcast clouds,-2.8856,-40.12,castelo pizzaria
246,Port Keats,AU,79.86,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
254,Guaymango,SV,82.38,light rain,13.7503,-89.8422,ARENA Guaymango. Sede Municipal
256,Monrovia,LR,78.76,overcast clouds,6.3005,-10.7969,Sunset Inn
259,Lufilufi,WS,76.78,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
263,Isangel,VU,75.16,overcast clouds,-19.55,169.2667,Tanna Lodge
265,Nazare,BR,81.99,overcast clouds,-13.035,-39.0144,Hotel Victória Réghia
266,Cabedelo,BR,82.13,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
268,Phan Thiet,VN,76.8,overcast clouds,10.9333,108.1,Hotel Saigon-PT
274,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
279,Karangasem,ID,76.14,overcast clouds,-8.45,115.6167,Villa Campuhan
280,El Pueblito,MX,75.02,broken clouds,20.5333,-100.45,Capital O Villa Bonita
281,Banda Aceh,ID,79.14,overcast clouds,5.5577,95.3222,Sulthan Hotel International
283,Soyo,AO,78.49,overcast clouds,-6.1349,12.3689,Hotel Mpampa
284,Sao Felix Do Xingu,BR,86.25,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
285,San Rafael Del Sur,NI,85.53,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
286,Sao Goncalo Do Amarante,BR,86.04,overcast clouds,-3.6072,-38.9683,Sunshine Inn
290,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
294,Celestun,MX,80.37,overcast clouds,20.8667,-90.4,Posada Lilia
296,Henderson,US,76.75,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
297,Bluefields,NI,85.69,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
318,Arlit,NE,89.91,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
320,Piacabucu,BR,82.4,few clouds,-10.4056,-36.4344,Piaçabuçu News
321,Kieta,PG,78.49,few clouds,-6.2167,155.6333,Uruna Bay Retreat
322,Lazaro Cardenas,MX,83.39,overcast clouds,17.9583,-102.2,quinta antigua
324,Ormara,PK,80.96,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
325,Narasannapeta,IN,76.03,overcast clouds,18.4167,84.05,G.lingaraju home
326,Bubaque,GW,84.13,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
331,Omboue,GA,76.08,overcast clouds,-1.5746,9.2618,Hotel Olako
332,Conceicao Do Araguaia,BR,84.33,heavy intensity rain,-8.2578,-49.2647,Tarumã Tropical Hotel
333,Mattru,SL,75.42,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
335,Jibuti,DJ,78.76,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
336,Makakilo City,US,80.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
338,Pascagoula,US,84.06,overcast clouds,30.3658,-88.5561,Regency Inn
339,Buala,SB,78.76,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
344,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
345,Marsh Harbour,BS,81.32,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
350,Faanui,PF,78.12,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
354,Tebingtinggi,ID,75.25,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
361,Sao Francisco,BR,84.97,overcast clouds,-15.9486,-44.8644,Hotel Supremo
362,Biltine,TD,88.39,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
363,Sur,OM,81.7,clear sky,22.5667,59.5289,Sur Plaza Hotel
364,Ugoofaaru,MV,81.72,overcast clouds,5.6667,73.0,Ungoofaaru Inn
366,Malakal,SS,80.8,clear sky,9.5334,31.6605,Nile Palace Hotel
370,Alyangula,AU,80.26,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
372,Kita,ML,75.7,light rain,13.0349,-9.4895,Hôtel Chat Rouge
376,Vilhena,BR,85.69,overcast clouds,-12.7406,-60.1458,Hotel Mirage
377,Tamandare,BR,82.27,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
382,Porto Novo,BJ,75.58,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
384,Maningrida,AU,82.06,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
388,Catamarca,AR,85.05,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
396,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
399,Pilar,BR,85.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
400,Iztapa,GT,87.85,overcast clouds,13.9333,-90.7075,Villas de Puerto Viejo
409,Iraquara,BR,77.97,overcast clouds,-12.2486,-41.6194,Pousada E Restaurante MKE
414,Blythe,US,83.03,overcast clouds,33.6103,-114.5964,Rodeway Inn & Suites
422,Daru,PG,79.7,overcast clouds,-9.0763,143.2092,Daru Lodge
426,Trairi,BR,84.51,few clouds,-3.2778,-39.2689,janelas do mar
427,Weligama,LK,78.84,few clouds,5.9667,80.4167,Weligama Bay Resort
428,Morant Bay,JM,88.63,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
430,Araguacu,BR,89.29,light rain,-12.9306,-49.8264,Hotel Tocantins
433,Kovur,IN,79.83,overcast clouds,14.4833,79.9833,Hotel Yesh Park
435,Skeldon,GY,80.44,overcast clouds,5.8833,-57.1333,Rits Hotel
444,Muisne,EC,78.44,broken clouds,0.6,-80.0333,Quinta Samay
445,San Cristobal,VE,83.93,broken clouds,7.7669,-72.225,Posada Villaven C.A.
446,San Andres,CO,82.99,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
448,San Felipe,VE,79.97,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
456,Bilma,NE,85.77,clear sky,18.6853,12.9164,Expeditions Ténére voyages
458,Padang,ID,77.07,overcast clouds,-0.9492,100.3543,Mercure Padang
460,Sao Desiderio,BR,89.08,overcast clouds,-12.3633,-44.9733,Hotel azaf
462,Itarema,BR,84.67,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
466,Chimoio,MZ,75.6,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
467,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
476,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
477,Vila Velha,BR,75.52,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
479,Sikonge,TZ,81.61,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
489,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
495,Dhidhdhoo,MV,81.05,moderate rain,6.8833,73.1,Dhidhoo beach
496,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
503,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
508,Tiruchchendur,IN,81.05,broken clouds,8.4833,78.1167,Hotel Udhayam International
512,Chauk,MM,76.5,broken clouds,20.8833,94.8167,Bo Khin Guest House
524,Rock Sound,BS,80.08,heavy intensity rain,24.9,-76.2,Rock Sound Club
526,Orocue,CO,86.4,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
528,Mandera,KE,83.86,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
529,Belo Horizonte,BR,78.71,overcast clouds,-19.9208,-43.9378,Hotel Pampulha Palace
530,Aswan,EG,77.86,clear sky,24.0934,32.907,Nuba Nile
533,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
534,Ibotirama,BR,85.24,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
537,Acapulco,MX,77.29,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
541,Jacqueville,CI,80.51,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
542,Tagusao,PH,76.35,moderate rain,9.1924,117.8141,Toledo
543,Progreso,MX,87.91,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
552,Mackay,AU,76.05,scattered clouds,-21.15,149.2,International Lodge Motel
559,Meulaboh,ID,77.11,overcast clouds,4.1363,96.1285,Kost Pria
565,Maragogi,BR,81.61,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
567,Oistins,BB,82.92,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
568,Nabire,ID,75.09,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
569,Ambilobe,MG,76.28,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
571,Nosy Varika,MG,75.65,scattered clouds,-20.5833,48.5333,Hotel Volazara
572,Saint-Paul,RE,75.31,scattered clouds,-21.0096,55.2707,Boucan Canot
573,San Ignacio,BZ,89.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
574,The Valley,AI,86.83,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
579,Grenville,GD,83.23,broken clouds,12.1167,-61.6167,Valley Breeze Guest House
581,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
582,Eyl,SO,78.31,few clouds,7.9803,49.8164,Amiin Hotel
596,Bowen,AU,76.55,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
603,Srandakan,ID,77.4,overcast clouds,-7.9386,110.2506,Puri Brata
604,Acajutla,SV,83.34,broken clouds,13.5928,-89.8275,asi es
608,Majene,ID,78.55,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
610,Borba,BR,89.58,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
616,Castanos,MX,84.34,few clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
618,Shakawe,BW,82.47,broken clouds,-18.3667,21.85,Ditlhapi Guest House
624,Hobyo,SO,79.61,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
625,Bosaso,SO,79.77,broken clouds,11.2842,49.1816,Red Sea Hotel
628,Ishigaki,JP,76.5,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
629,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
630,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
634,Namatanai,PG,79.02,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
642,Safaga,EG,78.44,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
645,Yaring,TH,77.63,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
647,Takoradi,GH,78.17,overcast clouds,4.8845,-1.7554,Raybow International Hotel
648,Port-Gentil,GA,77.86,scattered clouds,-0.7193,8.7815,Fengshui Residence
653,Tonantins,BR,88.86,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
656,Kutum,SD,80.2,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
657,La Marque,US,86.05,scattered clouds,29.3686,-94.9713,Comfort Inn & Suites Texas City
658,Cravo Norte,CO,87.66,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
659,Oussouye,SN,83.93,scattered clouds,12.485,-16.5469,Auberge du Routard
660,Safford,US,79.72,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
661,Altamira,BR,85.62,overcast clouds,-3.2033,-52.2064,Requinte Hotel
667,Tyler,US,84.42,broken clouds,32.3513,-95.3011,The Woldert-Spence Manor
670,Todos Santos,MX,89.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
676,Sechura,PE,77.32,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
677,Sawakin,SD,82.53,clear sky,19.1059,37.3321,فندق الدويم
678,San Policarpo,PH,80.69,overcast clouds,12.1791,125.5072,Agapita M. Nicart
679,Puerto Ayacucho,VE,89.67,light rain,5.6639,-67.6236,Posada Turistica Manapiare
680,Mabaruma,GY,77.27,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
683,Labuhan,ID,79.77,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
691,Green Valley,US,83.43,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
699,Bangkalan,ID,82.35,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
702,Diffa,NE,88.36,clear sky,13.3154,12.6113,ProDAF/Diffa
703,Atambua,ID,75.99,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
707,Honiara,SB,76.39,broken clouds,-9.4333,159.95,Heritage Park Hotel
713,Sola,VU,81.0,few clouds,-13.8833,167.55,Leumerus Bungalows
714,Surt,LY,81.79,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
